model,yil,km,renk,fiyat,il
Volkswagen Polo 1.4 TDi Comfortline,2016,85.000 ,Beyaz,159.500 TL,Manisa
DS Automobiles DS4 1.6 e-HDi D-Sport,2014,90.000 ,Beyaz,182.500 TL,Hatay
Ford Focus 1.6 TDCi Titanium,2015,83.000 ,Beyaz,208.500 TL,Niğde
MINI Cooper 1.5 Classic,2020,4.294 ,Kırmızı,329.000 TL,Kocaeli
Peugeot 508 1.6 e-HDi Allure,2012,204.000 ,Siyah,178.500 TL,Uşak
Mercedes - Benz 200,1986,265.000 ,Yeşil,98.750 TL,Uşak
BMW 5 Serisi 520i M Sport,2014,99.000 ,Beyaz,442.000 TL,Muğla
BMW 5 Serisi 520i Executive M Sport,2016,44.000 ,Siyah,545.000 TL,Muğla
Fiat Egea 1.3 Multijet Urban,2017,105.000 ,Beyaz,146.000 TL,Ordu
Audi A6 Sedan 2.0 TDI,2011,329.000 ,Siyah,225.000 TL,Mersin
Renault Fluence 1.5 dCi Touch,2014,179.000 ,Beyaz,128.750 TL,Diyarbakır
Ford Focus 1.6 TDCi Trend X,2017,172.000 ,Beyaz,171.750 TL,Diyarbakır
Volkswagen Passat 1.4 TSi BlueMotion Highline,2017,44.000 ,Beyaz,"335.000 TL,330.000 TL",Iğdır
Opel Insignia 2.0 CDTI Cosmo,2012,205.000 ,Gri,159.500 TL,İzmir
BMW 5 Serisi 520i Comfort,2014,140.000 ,Beyaz,360.000 TL,Kahramanmaraş
Renault Symbol 1.4 Expression,2010,166.000 ,Beyaz,85.900 TL,Adıyaman
Citroen C5 1.6 HDi SX,2011,304.000 ,Beyaz,90.750 TL,İzmir
Hyundai i20 1.4 CRDi Style,2017,88.000 ,Kırmızı,142.500 TL,İstanbul
Toyota Corolla 1.4 D-4D Advance,2016,98.000 ,Beyaz,191.500 TL,İstanbul
Renault Fluence 1.5 dCi Icon,2014,202.500 ,Siyah,131.500 TL,Sakarya
Ford Focus 1.6 Titanium,2011,33.750 ,-,143.500 TL,İzmir
Toyota Corolla 1.4 D-4D Touch,2014,86.000 ,Beyaz,159.950 TL,Mersin
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,2015,73.000 ,Gri,"320.000 TL,315.000 TL",Mersin
Porsche Panamera Diesel,2014,260.000 ,Siyah,1.175.000 TL,İstanbul
Audi A6 Sedan 2.0 TDI,2015,189.000 ,Siyah,525.000 TL,İstanbul
Renault Symbol 1.5 dCi Joy,2016,180.000 ,Gri,90.000 TL,Trabzon
Volkswagen Passat 1.4 TSi BlueMotion Comfortline,2017,63.000 ,Siyah,"275.000 TL,255.000 TL",Zonguldak
Hyundai i20 1.2 MPI Style,2015,45.000 ,Beyaz,127.950 TL,Zonguldak
