model,yil,km,renk,fiyat,il
Volkswagen Passat 1.4 TSi BlueMotion Comfortline,2017,63.000 ,Siyah,255.000 TL,Zonguldak
Hyundai i20 1.2 MPI Style,2015,45.000 ,Beyaz,127.950 TL,Zonguldak
Volkswagen Passat 2.0 Comfortline,2005,219.000 ,Gri,149.900 TL,Ankara
Volkswagen Passat 1.6 Comfortline,2006,169.000 ,Siyah,156.000 TL,Ankara
Volkswagen Golf 1.6 Pacific,2004,246.000 ,Gri,79.900 TL,Sakarya
BMW 5 Serisi 520d Standart,2009,155.000 ,Siyah,177.500 TL,Sakarya
Fiat Egea 1.3 Multijet Easy Plus,2020,0 ,Beyaz,176.500 TL,Zonguldak
Hyundai i20 1.4 CRDi Style,2015,52.000 ,Füme,153.500 TL,Zonguldak
Renault Clio 1.5 dCi Icon,2012,147.000 ,Kırmızı,118.900 TL,Konya
Fiat Egea 1.6 E-Torq Urban Plus,2019,2.000 ,Beyaz,186.900 TL,Konya
Mercedes - Benz E 250 AMG,2014,62.000 ,Beyaz,495.000 TL,Trabzon
Renault Clio 1.5 BlueDCI Joy,2019,29.000 ,Beyaz,153.500 TL,Trabzon
Skoda Octavia 1.6 TDI Style CR,2016,90.000 ,Mavi,238.500 TL,Trabzon
Alfa Romeo Giulietta 1.6 JTD Progression,2020,0 ,Beyaz,305.000 TL,Trabzon
Volkswagen Passat 1.6 TDi BlueMotion Trendline,2017,110.000 ,Gri,247.500 TL,İstanbul
Ford Focus 1.6 TDCi Trend,2012,170.000 ,Beyaz,132.000 TL,Hatay
Hyundai Accent Era 1.4 Team,2007,216.000 ,Siyah,68.750 TL,Hatay
Renault Megane 1.5 dCi Touch Plus,2015,134.000 ,Gri,149.800 TL,İstanbul
Toyota Auris 1.4 D-4D Comfort Extra,2012,82.000 ,Beyaz,151.000 TL,İstanbul
Ford Fiesta 1.4 TDCi Titanium X,2011,165.000 ,Gri,105.000 TL,İstanbul
Skoda Octavia 1.4 TSI Elegance,2010,235.750 ,Siyah,125.000 TL,Adıyaman
Hyundai Accent Era 1.4 Team,2009,132.000 ,Gri,93.750 TL,Adıyaman
Volkswagen VW CC 1.4 TSi,2012,170.000 ,Beyaz,195.000 TL,Eskişehir
Fiat Egea 1.3 Multijet Easy,2017,127.500 ,Beyaz,124.750 TL,Eskişehir
Peugeot 406 2.0 SV,1998,130.000 ,Beyaz,46.500 TL,Konya
Mercedes - Benz E 200 Kompressor Avantgarde,1997,329.000 ,Siyah,98.500 TL,Konya
Volkswagen Passat 1.9 TDi,1998,307.000 ,Mavi,69.500 TL,Bursa
Volkswagen Jetta 1.6 TDi Comfortline,2013,240.000 ,Füme,152.500 TL,Bursa
Renault Fluence 1.5 dCi Privilege,2011,94.000 ,Gri,146.950 TL,İstanbul
Hyundai i20 1.4 CRDi Jump,2013,122.000 ,Beyaz,96.950 TL,İstanbul
Toyota Corolla 1.4 D-4D Advance,2013,135.000 ,Gri,149.950 TL,İstanbul
Audi A6 Sedan 2.0 Quattro,2017,199.000 ,Siyah,689.000 TL,Şanlıurfa
Peugeot 301 1.6 HDi Active,2016,158.000 ,Beyaz,112.000 TL,Şanlıurfa
Volkswagen Passat 1.6 TDi BlueMotion Impression,2017,91.000 ,Beyaz,299.000 TL,Şanlıurfa
Volkswagen Jetta 1.4 TSi BlueMotion Highline,2015,88.000 ,Beyaz,239.750 TL,Niğde
Opel Astra 1.3 CDTI Sport,2013,68.000 ,Beyaz,172.750 TL,Niğde
Audi A4 Sedan 2.0 TDI Dynamic,2017,60.000 ,Siyah,499.750 TL,İstanbul
Nissan Micra 1.2 Street,2015,16.000 ,Gri,138.750 TL,İstanbul
Volkswagen Passat Variant 1.6 TDi BlueMotion Comfortline,2014,159.000 ,Bej,254.500 TL,Ankara
Mercedes - Benz E 250 CDI Premium,2013,225.000 ,Siyah,"474.500 TL",Ankara
Peugeot 301 1.6 BlueHDI Active,2018,96.000 ,Füme,128.000 TL,Muğla
Fiat Punto 1.4 Easy S&S,2013,71.000 ,Beyaz,117.000 TL,Muğla
Ford Focus 1.6 Ti-VCT Trend X,2013,104.000 ,Kırmızı,135.000 TL,Muğla
Volkswagen Polo 1.4 TDi Trendline,2015,99.400 ,Beyaz,129.000 TL,Muğla
Renault Clio 0.9 TCe Joy,2019,4.800 ,Beyaz,134.750 TL,Manisa
Nissan Micra 1.2 Match,2017,24.000 ,Beyaz,"162.500 TL",Manisa
Fiat Punto 1.4 Lounge S&S,2015,54.300 ,Beyaz,"120.000 TL",Manisa
Renault Megane 1.6 Dynamique,2004,209.650 ,beyaz,93.000 TL,Konya
Peugeot 301 1.6 HDi Allure,2017,87.000 ,Gri,141.500 TL,İzmir
Dacia Sandero 1.5 dCi Stepway,2017,95.000 ,Gri,142.000 TL,İzmir
Skoda Octavia 1.4 TSI Elegance,2010,235.750 ,Siyah,125.000 TL,Adıyaman
Hyundai Accent Era 1.4 Team,2009,132.000 ,Gri,93.750 TL,Adıyaman
Volkswagen VW CC 1.4 TSi,2012,170.000 ,Beyaz,195.000 TL,Eskişehir
Fiat Egea 1.3 Multijet Easy,2017,127.500 ,Beyaz,124.750 TL,Eskişehir
Peugeot 406 2.0 SV,1998,130.000 ,Beyaz,46.500 TL,Konya
Mercedes - Benz E 200 Kompressor Avantgarde,1997,329.000 ,Siyah,98.500 TL,Konya
Volkswagen Passat 1.9 TDi,1998,307.000 ,Mavi,69.500 TL,Bursa
Volkswagen Jetta 1.6 TDi Comfortline,2013,240.000 ,Füme,152.500 TL,Bursa
Renault Fluence 1.5 dCi Privilege,2011,94.000 ,Gri,146.950 TL,İstanbul
Hyundai i20 1.4 CRDi Jump,2013,122.000 ,Beyaz,96.950 TL,İstanbul
Toyota Corolla 1.4 D-4D Advance,2013,135.000 ,Gri,149.950 TL,İstanbul
Audi A6 Sedan 2.0 Quattro,2017,199.000 ,Siyah,689.000 TL,Şanlıurfa
Peugeot 301 1.6 HDi Active,2016,158.000 ,Beyaz,112.000 TL,Şanlıurfa
